전자정보통신 약어정리

 	(‘*’표는 통신에 주로 사용되는 약어임)
CD 	Compact Disc, 시디
CD 	Compact Disk, 시디, 콤팩트 디스크
CD 	Count Down, 카운트 다운
CD 	Countdown Counter
CD-EG 	Compact Disc-Enhanced Graphic
CD-FMV 	Compact Disk Interactive Full Motion Video, 컬러 동화상 규격
CD-G 	Compact Disc Graphic, 시디-지, 시디 그래픽스
CD-I 	Compact Disc Interactive
CD-I 	Compact Disc Interactive media, 시디-아이, 대화형 콤팩트 디스크
CD-I/FMV 	Compact Disc-Interactive Full Motion Video
CD-MO 	Compact Disc Magneto Optical
CD-R 	CD Recordable, 시디-아르
CD-ROM 	Compact Disk Read Only Memory, 시디-롬, 콤팩트 디스크 롬
CD-ROM XA 	Compact Disk Read Only Memory Extended Architecture, 시디-롬 확장 규격
CD-SSN 	Call Destination Subsystem Number, 착신측 서브시스템 번호
CD-V 	Compact Disk Video, 시디-브이
CD-V 	Compact Disk-Video
CD-WORM 	CD-Write Once Read Many
CDA 	Capability Data ACK
CDA 	Command and Data Acquisition
CDA 	Control Data Australia pty., ltd
CDA 	Craft Digital Assistant
CDAD 	Cable Digital Audio Distribution, 유선 디지털 오디오 분배
CDB 	Cell Delineation Block
CDC 	Call Directing Code, 행선 지정 코드
CDC 	Condition Code, 컨디션 코드
CDC 	Control & Delay Channel
CDC 	Control Data Corporation
CDCCP 	Control Data Communication Control Program, (CDS, 1974)
CDCE 	Central Data-Conversion Equipment
CDCN 	Codebook-Dependent Cepstral Normalization (음성)
CDCN 	Codeword-Dependent Cepstral Normalization (음성)
CDD 	Coding & Decoding Delay, 코딩 및 디코딩 지연
CDD 	Command Data Description (IMT-2000)
CDDI 	Copper Distributed Data Interface, 동선 분산형 데이터 인터페이스
CDE 	Capability Data Exchange, 수신 능력 데이터 교환
CDE 	Certificate in Data Education
CDE 	Certified Data Educator (SDE)
CDE 	Common Desktop Environment, 공통 데스크탑 환경
CDF 	Combined Distributing Frame, 결합 배선반
CDF 	Composite Display Flag, 원신호가 성분별 신호인가를 표시 (MPEG)
CDG 	CDMA Development Group
CDGM 	Charging Data Generation for Mobile call
CDGPS 	Carrier Differential Global Positioning System, =간섭측위법(interferometry)
CDGPS 	Code Differential Global Positioning System, = Trans-Location법
CDI 	Cellular Data Inclose
CDI 	Collector Diffused Isolation
CDI 	Control Data Institute
CDIS 	Cache DISable
CDJM 	Canadian Journal of Mathematics
CDL 	Central Data Link, 중앙 데이터 링크
CDL 	Common Display Logic
CDL 	Computer Description Language
CDL 	Computer Design Language (ALGOL like language)
CDM 	Configuration Data Manager (IMT-2000)
CDMA 	Code Division Multi Access
CDMA 	Code Division Multiple Access, 부호 분할 다원 접속, 코드 분할 다중 접속
CDMAP 	Customer Data Maintenance & Administration Package, 데이터 보관 패키지
CDMB 	Charge Data Management Block, 과금 데이터 관리부
CDMB 	Configuration Data Management Block (IMT-2000)
CDN 	Call Processing and Data base Node, 호 처리 및 데이터베이스 노드
CDN 	Call Processing Database Node, 호 처리 데이터베이스 노드
CDP 	CD Player, 시디 플레이어
CDP 	Central Data Processor
CDP 	Centralized Data Processing
CDP 	Certificate in Data Processing (DPMA)
CDP 	Checkout Data Processor
CDP 	Communication Data Processor, 통신데이터 프로세서*
CDP 	Continuous DP, 연속 DP 방법
CDPC 	Central Data Processing Computer
CDPC 	Commercial Data Processing Centers, 상용 데이터 처리 센터
CDPD 	Cellular Digital Packet Data, 셀룰러 디지털 패킷 데이터
CDR 	Call Detail Record, 상세 명세서
CDR 	Charging Data Record, 과금 데이터 기록
CDR 	Charging Data Recording block, 과금기록부*
CDR 	Charging Data Recording, 과금기록
CDR 	Computer Display Review (Keydata corp.)
CDR 	Critical Design Review
CDRAM 	Cached Dynamic Random Access Memory
CDRL 	Contractor Data Requirement List
CDS 	Computer Duplex System
CDS 	Current Directory Structure
CDSB 	Charging Data Send Block
CDSE 	Computer Driven Simulation Environment
CDT 	Control Data Terminal
CDT 	Credit, 초기 credit 할당
CDT 	Cyclic Digital Transmission
CDU 	CDMA Digital Unit
CDU 	Context Dependent Unit, 문맥 종속 단위 (음성)
CDU 	Control Display Unit
CDV 	Cell Delay Variation*, 셀 지연 변이
CDV 	Compact Disk Video, 콤팩트디스크 비디오
CDVT 	Cell Delay Variation Tolerance, 셀 지연 변이 허용
CDW 	Computer Data Word, 컴퓨터 데이터 워드
CDX 	Capability Data Exchange, 수신 능력 데이터 교환
CE 	Cellular Equipment, 무선단말기*
CE 	Channel End, 채널 종료
CE 	Chip Enable, 칩 인에이블
CE 	Connection Element
CE 	Control Electronics, 제어 전자 공학
CEA 	Channel Element Address, 채널 엘리먼트 어드레스
CeBIT 	Code Excited Linear Prediction, 세빗
CEC 	Commission of European Communities
CEDPA 	California Educational Data Processing Association
CEI 	Computer Extended Instruction
CEI 	Connection Endpoint Identifier*
CEI 	Contract End Item
CEIS 	California Education Information System
CELP 	Code Excited Linear Prediction, 음성 코딩 알고리즘, 셀프
CELP 	Code Excited Linear Predictive coding
CELP 	Codebook Excited Linear Prediction
CELS 	Cyclic Error Location Search
CEM 	Channel Element Modem
CEMON 	Customer Engineering Monitor (IBM)
CEN 	Comite Europeene De Normalisation
CEN 	European Committee for Standardization
CENELEC 	Comite Europeene De Normalisation Electrotectnique
CENG 	Control Engineering
CENSOR 	Central Processor (manufactured by Standard radio & telefon, Sweden)
CENTREX 	Centralized Exchange
CENTREX 	Centralized PBX Service, 사업소용 구내 교환 전화, 센트렉스
CEO 	Customer Equipment
CEP 	Cepstrum, 켑스트럼 (음성)
CEP 	Circular Error Probability
CEP 	Civil Engineering Package
CEP 	Computer Entry Punch
CEPA 	Civil Engineering Program Applications (IBM uses's group)
CEPT 	Conference Europeene des Administrations des Postes et des Telecom, 유럽 (전송) 방식, 셉트
CEPT 	Conference Europeenne des Postes and Telecommunication
CEPT 	Conference of European Administrations of Posts and Telecommunication, 유럽 우편?전기통신 주관청회의
CEQ 	Customer Equipment*
CER-DIP 	Ceramic Dual in Line Package
CERFnet 	California Education and Research Foundation Network, 서프네트
CERI 	Centre for Educational Research and Innovation
CERT 	Computer Emergency Response Team, 서트
CES 	Centralized Extension System, 집단 전화, 사업소 집단전화국장치
CES 	Coast Earth Station
CES 	Coast Earth Station, 해안국
CES 	Connection Endpoint Suffix
CF 	Call Forwarding
CF 	Central File
CF 	Chroma Format, 색차 포맷의 지정 (MPEG)
CF 	Clear Configuration, 호설정 응답
CF 	Constant Frequency
CF 	Context Free
CF 	Control Footing
CF 	Control Frame, 프레임 제어부
CF 	Control Function
CF 	Conversion Factor
CF 	Coordination Function
CF 	Count Forward
CF 	Crest Factor, 파교율(=최대치/실효치)
CFC 	Conference Circuit, 회의통화회로
CFCV 	Constant Frequency Constant Voltage Power Unit, 정주파 정전압 전원 장치
CFD 	Computational Fluid Dynamics
CFF 	Critical Fusion Frequency, 임계 융합 빈도, 임계 융합 주파수
CFG 	Context Free Grammar, 문맥 자유 문법 (음성)
CFI 	CAD Framework Initiative, 시에프아이
CFL 	Context-Free Language
CFM 	Cathode Follower Mixer
CFM 	Configuration Management (IMT-2000)
CFM 	Control Filter Message, 제어 필터 메시지
CFP 	Cordless Fixed Part
CFR 	Castatrographic Failure Rate
CFRAD 	Cisco Frame Relay Access Device
CFSTI 	Clearinghouse for Federal Scientific and Technical Information
CFU 	Capability data exchange Function Unit, 수신능력 데이터 교환 기능 단위
CG 	Channel Group
CG 	Chassis Ground
CG 	Closed GOP, GOP 내의 영상이 다른 GOP로부터의 독립재생이 가능한지를 표시 (MPEG)
CG 	Computer Graphics, 컴퓨터 그래픽스
CG-1 	Course Generator
CG-ROM 	Character Generator ROM, 문자 발생기
CG-SSN 	Channel Group Subsystem Number, 발신측 서브시스템 번호
CGA 	Color Graphics Adapter, 컬러 그래픽스 어댑터
CGA 	Computer Graphics Adapter, 컴퓨터 그래픽 접속기
CGA 	Contact Go Ahead
CGB 	Convert Gray to Binary
CGI 	Common Gateway Interface
CGI 	Computer Graphics Interface
CGS 	Cellular Gateway Switching, 관문 교환기
CGS 	Cellular Gateway System
CH 	Channel Header
CH 	Character, 문자
CH 	Control Heading
CHA 	Call Hold with Announcement
CHA 	Component Handling, 컴포넌트 처리부
CHA 	Transaction Handling, 트랜잭션 처리
CHAF 	Component Handling Function (IMT-2000)
CHAMP 	Character Manipulation Procedures
CHANT 	Call History Count (IMT-2000)
CHAP 	Challenge Handshake Authentication Protocol, 채프
CHE 	Channel End
CHI 	Computer Human Interaction
CHILD 	Cognitive Hybrid Intelligent Learning Device
CHILL 	CCITT High Level Language, 칠
CHiP 	Configurable, Highly Parallel
CHKDSK 	CHecK Disk
CHLL 	CCITT High Level Language
CHM 	Channel Multiplexer
CHMM 	Continuous HMM (음성)
CHoPP 	Columbia Homogeneous Parallel Processor
CHRG 	Charge, 전하
CHRP 	Common Hardware Reference Platform
CHS 	Charging Subsystem, 요금부과 부차적 방식
CHS 	Cylinder Head Sector
CHW 	Channel Word, 채널어, 채널 워드
CI 	Cache Inhibit
CI 	Call Indication, 호설정 지시
CI 	Call Indicator
CI 	Card Input
CI 	Carrier-to-Interface ratio
CI 	Channel Interface
CI 	Characteristic Independence
CI 	Circuit Interrupt
CI 	Clear Indication, 호설정 지시
CI 	CoChannel Interface, 동일 채널 간섭
CI 	Communication Interworking
Ci 	Component Identifier, 컴포넌트 식별정보
CI 	Computer-initiated, 컴퓨터 주도형 (음성)
CI 	Control Information
CI 	Control Interval, 제어 간격(구간)
CI 	Control Interworking, 통신 제어기
CI 	Copy Index, 복사 인덱스
CI 	Cost Improvement
CI 	Cut In
CI 	Incoming Call
CIA 	Central Intelligence Agency
CIA 	Communications Interrupt Analysis
CIA 	Computer Industry Association
CIA 	Computer Interface Adapter
CIB 	COBOL Information Bulletin
CICS 	Customer Information Control System, 시아이시에스, 고객 정보 관리시스템
CID 	Centre for Information and Documentation
CID 	Connection Identifier
CIDAS 	Conversational Interactive Digital/Analog Simulator (IBM)
CIDR 	Classless Inter-Domain Routing, 시아이디아르, 클래스레스 인터도메인루팅
CIE 	Commission Internationale de L'Eclairage
CIF 	Common Intermediate Format, 공통 중간 포맷
CIF 	Compiler Information File
CIFA 	CIN InterFace board Assembly
CIFFT 	Complex Inverse Fast Fourier Transform, 복소 역 고속 푸리에 변환
CIHK 	Central Office Narrowband ISDN Interface H/W block
CII 	Compagine Internationale pour I'informatique (French electronic company)
CIIN 	Cache Inhibit IN
CIM 	Computer Input Multiplexer
CIM 	Computer-Integrated Manufacturing, 컴퓨터 통합 생산 시스템
CIMCO 	Card Image Correction
CIN 	CDMA Interconnection Network
CIN 	Communication Interworking Network
CIO 	Central Input-Output Multiplexer
CIO 	Chief Information Officer, 정보 통괄 임원
CIOCS 	Communications Input-Output Control System
CIOU 	Custom Input/Output Unit
CIOUT 	Cache Inhibit OUT
CIP 	Central Interface Processor
CIP 	Cognitive Information Processing, 인지 정보 처리 (음성)
CIPM 	Council for International Progress in Management
CIPS 	Canadian Information Processing Society
CIQ 	Claim Inquiry, 조사 요구
CIQM 	Chroma Intra Quantizer Matrix, 색차 인트라 MB용의 양자화 매트릭스 값 (MPEG)
CIR 	Cell Insertion Ratio, 셀 삽입률
CIR 	Command Information Rate, 책임 정보 속도, 시아이아르
CIR 	Committed Information Rate
CIR 	Current Instruction Register, 현행 명령 레지스터
CIS 	CDMA Interconnection Subsystem
CIS 	Community Information System
CIS 	Continuous Information Source, 연속적 정보원
CIS 	Control Interworking Subsystem
CISA 	Certified Information Systems Auditor, 시사, 국제 공인정보 시스템감리사
CISC 	Complex Instruction Set Computer, 복잡 명령 세트 컴퓨터, 복합 명령 세트 컴퓨터, 복합 명령형 컴퓨터
CISCO 	Compass Integrated System Compiler
CISPR 	Comitee International Special des Perturbations Radioelectrique, 국제 무선 장해 특별 위원회
CIT 	Call-In-Time
CIT 	Cimpagine Industrielle de Telecommunication (French computer manufacturer)
CITAB 	Computer Instruction and Training Assistance for the Blind
CITEL 	The Inter American Telecommunication Conference for Latin American and Arab Telecommunication Union
CIU 	Community Information Utility
CIU 	Computer Interface Unit
CIX 	Commercial Internet Exchange, 킥스
CK 	Cipher Key
CK 	Clock, 클록
CK DIG 	Check Digit
CKC 	Common Key Crytosystem, 공통키 암호 시스템, 관용키 암호 시스템
CKD 	Clock Distributor, 클록 분산기
CKEY 	Cipher KEY, 암호키
CKO 	Checking Operator
CKSN 	Ciphering Key Sequence Number
CL 	Centiliter
CL 	Central Line
CL 	Class, 계층
CL 	Computational Linguistics
CL 	Connection Less
CL 	Control Language
CL 	Conversation Loss
CL-BI 	Connectionless - Bearer Independent (IMT-2000)
CLA 	Clear and Add
CLA 	Communication Line Adapter, 통신 라인 어댑터*
CLAI 	Connectionless Access Interface, 비연결형 접근 인터페이스
CLAS 	Computer Library Applications Service
CLASP 	Computer Language for Aeronautics and Space Programming (NASA)
CLASSMATE 	Computer Language to AIs and Simulate Scientific, Mathematical, and Technical Education
CLAT 	Communication Line Adapters for Teletypewriter
CLC 	Course Line Computer
CLCS 	Current Logic, Current Switching
CLD 	Called Line
CLDAS 	Clinical Laboratory Data Acquisition System
CLEAN 	Commonwealth Law Enforcement Assistance Network
CLEP 	College-Level Examination Program
CLG 	Calling Line
CLI 	Call-Level Interface
CLI 	Continuation Length Indicator
CLIA 	Central Link Interface board Assembly
CLIP 	Compiler Language for Information Processing
CLIR 	Calling Line Identity Restriction
CLLM 	Consolidated Link Layer Management
CLMS 	Clinical Laboratory Management System
CLNAP 	Connectionless Network Access Protocol, 비연결형 망 접근 프로토콜
CLNI 	Connectionless Network Interface, 비연결형 망 인터페이스
CLNIP 	Connectionless Network Interface Protocol, 비연결형 망 인터페이스 프로토콜
CLNP 	Connectionless Layer Network Protocol
CLNP 	Connectionless Network Protocol, 커넥션레스 네트워크 프로토콜
CLNS 	Connection Less Network Service
CLP 	Cell Loss Priority*, 셀 포기 순위, 셀 손실 우선 순위
CLP 	Cell Loss Probability*
CLP 	Cornell List Processor (Cornell university)
CLPS 	ConnectionLess Packet Service
CLR 	Cell Loss Ratio, 셀 손실률
CLR 	Computer Language Recorder
CLS 	Clear and Subtract, 소거 및 삭제
CLS 	Close, 클로즈
CLS 	COBOL Language Subcommittee
CLS 	Common Language System
CLS 	Concept Learning System
CLS 	Connectionless Service, 비연결형 서비스
CLSF 	Connectionless Service Function, 비연결형 서비스 기능
CLSIP 	Compressed Serial Link Internet Protocol
CLT 	Communication Line Terminal, 통신라인 단말*
CLT 	Computer Language Translator
CLTS 	Connectionless Transport Service
CLU 	Central Logic Unit
CLU 	Circuit Lineup Corder
CLU 	Computer Language Research, 컴퓨터 언어 연구
CLUT 	Color Look Up Table
CLV 	Constant Linear Velocity, 선속도 일정
CM 	Call Connection Management
CM 	Capture Mode, 포착 모드
CM 	Channel Marker
CM 	Common Memory, 공통 메모리
CM 	Communication Module, 통신 모듈*
CM 	Complex Multiplier, 복소 멀티플라이어
CM 	Condenser Microphone, 정전형 송화기
CM 	Context Merging, 문맥 통합 (음성)
CM 	Continuous Media, 연속 매체
CM 	Countermeasure
CM-1 	Connection Machine
CM-2 	Connection Machines
CM-5 	Connection Machines
CMAC 	Control Mobile Attenuation Code, 단말기 인증*
CMAX 	Maximum Number of Channel to be scanned
CMB 	CDMA Modem Block (IMT-2000)
CMC 	Common Mail Calls
CMC 	Common Messaging Calls
CMC 	Computerized Numerical Control, 컴퓨터에 의한 수치 제어
CMCT 	Communicate
CMD 	Command, 명령
CMD 	Core Memory Driver
CMES 	Coding Characteristic Measuring, 부호화 특성 측정장치
CMF 	Conversational Media Flow, 대화형 미디어 흐름
CMF 	Creative Music File
CMF 	Cross Modulation Factor
CMI 	Cable Microcell Integrator
CMI 	Code Mark Inversion
CMI 	Coded Mark Inversion code, 시엠아이 부호
CMI 	Coded Mark Inversion*, 시엠아이 부호
CMI 	Computer Managed Instruction, 컴퓨터 이용 학습
CMIP 	Common Management Information Protocol*, 공통 관리 정보 규약, 공통 관리 정보 프로토콜
CMIP-CMIS 	CMIP-Common Management Information Services, 공통 관리 정보 규약-공통 관리 정보 서비스
CMIP-DU 	Common Management Information Protocol Data Unit
CMIPM 	Common Management Information Protocol Machine*
CMIS 	Common Management Information Service*
CMIS 	Common Management Information System
CMISE 	Common Management Information Service Element, 공통관리정보 서비스요소
CML 	Current Mode Logic circuit, 전류 모드 논리 회로
